magnitude,cdi,mmi,alert,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
7.3,9,9,orange,1025,us,0,4.655,9.0,mww,10.0,34.5861,98.2551,Asia,People's Republic of China
6.7,5,4,green,710,us,515,0.0,24.0,mww,9.0,-10.004,107.236,,
7.3,3,7,green,822,us,0,4.126,23.0,mww,16.56,55.0999,164.699,,
7.1,9,6,green,780,us,334,0.0,16.5,mww,21.0,-10.928,166.018,,Solomon Islands
6.5,4,5,green,668,us,0,3.097,11.0,mww,112.0,-7.44,128.221,,Indonesia
6.5,7,7,,653,us,282,0.0,46.3,mwc,12.0,-27.211,-71.056,,Chile
6.5,0,6,,650,us,0,0.0,0.0,mwb,56.0,-6.845,105.555,,Indonesia
6.6,0,8,,670,us,782,0.0,37.0,mwc,16.0,37.226,138.779,Asia,Japan
7.0,5,5,green,803,us,0,1.769,21.0,mww,60.21,5.8983,126.921,,
6.5,5,4,green,681,us,0,1.635,30.0,mww,14.83,14.6682,-58.9272,,
6.5,0,7,,650,us,482,0.0,0.0,mwc,5.0,38.573,31.271,Asia,Turkey
7.4,0,6,,842,us,221,0.0,0.0,mwc,36.0,-4.68,102.562,,Indonesia
7.0,0,6,,754,us,0,0.0,0.0,mwc,33.0,1.0,120.45,,Indonesia
7.4,0,6,green,842,us,0,2.885,17.0,mww,39.0,-11.4633,162.051,,
6.7,5,5,green,726,us,0,3.38,17.0,mww,152.0,-7.5082,127.921,,Indonesia
6.7,3,7,,708,us,279,0.0,24.3,mwc,12.0,28.412,59.18,Asia,Iran
6.8,8,6,green,831,us,0,1.422,8.0,mww,35.0,38.9056,142.032,Asia,Japan
6.9,5,5,,825,duputel,0,0.0,0.0,mww,25.5,37.55,142.714,,
6.7,0,3,green,691,us,166,4.719,10.0,mww,595.854,-22.2844,179.391,,
7.2,6,6,green,860,us,173,0.907,36.0,mww,32.571,54.3844,-160.699,,
7.2,7,7,,1104,us,698,0.0,19.6,mwc,36.0,38.276,142.039,,
7.6,9,8,yellow,1152,us,0,0.355,29.0,mww,38.0,-43.4064,-73.9413,South America,Chile
7.3,7,7,,850,us,405,0.0,20.2,mwc,25.0,-17.541,168.069,,Vanuatu
6.8,0,5,,711,us,499,0.0,0.0,mwc,14.0,23.954,122.734,,
6.7,3,6,,693,us,398,0.0,22.3,mwc,21.0,1.819,97.082,,Indonesia
6.6,0,6,,670,us,0,0.0,0.0,mwc,33.0,9.454,126.334,,Philippines
6.8,5,5,green,1211,nc,112,0.6568,229.0,mw,16.441,40.8287,-125.134,,
7.0,4,6,green,771,us,0,0.617,14.0,mww,10.0,-21.3246,168.671,,
7.1,0,5,green,776,us,0,7.043,20.0,mww,133.0,-58.5446,-26.3856,,South Georgia and the South Sandwich Islands
6.7,7,5,green,692,us,0,6.787,25.0,mww,27.59,-13.9805,166.594,,Vanuatu
7.2,8,6,,813,us,280,0.0,18.4,mww,32.0,-18.365,168.143,,
